NAAM;CATEGORIE;STRAAT;NUMMER;POSTNUMMER;STAD
 ELEGANTIA;BEAUTY & HEALTH;KEIZER KARELSTRAAT;131;9000;GENT
M;FASHION & ACCESSOIRES;BENNESTEEG;19-21;9000;GENT
'AKSENT;SFEERVOL WONEN;HOOGPOORT;43;9000;GENT
'T BENNESTEEGSKE;HAPJE & DRANKJE;BENNESTEEG;23;9000;GENT
'T BRASKE;HAPJE & DRANKJE;NORMAALSCHOOLSTRAAT;39;9000;GENT
'T BUIKSKE VOL;RESTAURANT;KRAANLEI;17;9000;GENT
'T FRIETPALEIS;HAPJE & DRANKJE;KONINGIN ELISABETHLAAN;60;9000;GENT
'T GARNIERKEN : BIJ ' T GEZIN ...;RESTAURANT;DE PINTELAAN;137;9000;GENT
'T GENIETERKE;HAPJE & DRANKJE;VRIJDAGMARKT;35;9000;GENT
'T KLOKHUYS;HAPJE & DRANKJE;CORDUWANIERSSTRAAT;65;9000;GENT
'T RETOUCHKE;FASHION & ACCESSOIRES;KLINIEKSTRAAT;3;9050;GENTBRUGGE
'T VINGERHOEDJE;ALLERLEI;ABDIJMOLENSTRAAT;30;9031;DRONGEN
'T ZUIDERHUIS;SPORT & ONTSPANNING;KORTEDAGSTEEG;13/15;9000;GENT
2COMPUTE;SPORT & ONTSPANNING;SCHOOLDREEF;73;9050;GENTBRUGGE
A CE SOIR;FASHION & ACCESSOIRES;ONDERBERGEN;51;9000;GENT
APRIL;CADEAUS;BURGSTRAAT;27E;9000;GENT
A.PUUR.A;CADEAUS;ONDERBERGEN;56;9000;GENT
ABACHO;HAPJE & DRANKJE;HOOGPOORT;12;9000;GENT
ACE & DICE TATTOO;BEAUTY & HEALTH;GELDMUNT;35;9000;GENT
ADEK EXCLUSIEF KEUKENAPPARATEN;SFEERVOL WONEN;GRONDWETLAAN;81;9040;SINT AMANDSBERG
AKDENIZ;RESTAURANT;SLUIZEKEN;21;9000;GENT
ALFABET DRUKKERIJ;ALLERLEI;SINT-DENIJSLAAN;317;9000;GENT
ALLURE;BEAUTY & HEALTH;MARIAKERKSESTEENWEG;38;9031;DRONGEN
ALPY VZW;DELICATESSEN;STEPPESTEDE;4;9051;SINT-DENIJS-WESTREM
ALTAN;ALLERLEI;SLUIZEKEN;13;9000;GENT
ALTIPLANO BOOKS;ALLERLEI;BAGATTENSTRAAT;5;9000;GENT
AMBERHOEVE;FASHION & ACCESSOIRES;OUDBURG;60;9000;GENT
AMBROSIA SUIKERBONEN & ...;CADEAUS;ANTWERPSESTEENWEG;332/001;9040;SINT-AMANDSBERG
ANIMAL STORE;FASHION & ACCESSOIRES;WALPOORTSTRAAT;34;9000;GENT
ANTIEK-DEPOT;ANTIEK & DESIGN;BAUDELOSTRAAT;15;9000;GENT
ANYK THE COMPANY OF HEALTH  ;ALLERLEI;ZUIDERTOREN GASTON CROMMENLAAN;8;9050;GENT
APHRODITE;FASHION & ACCESSOIRES;DENDERMONDSESTEENWEG;321;9040;SINT-AMANDSBERG
